Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,Gender,HourlyRate,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
41,1,Travel_Rarely,1102,Sales,1,Life Sciences,Female,94,Sales Executive,4,5993,8,Yes,11,3,80,1,6,0,5
49,0,Travel_Frequently,279,Research & Development,8,Life Sciences,Male,61,Research Scientist,2,5130,1,No,23,4,80,3,10,1,7
37,1,Travel_Rarely,1373,Research & Development,2,Other,Male,92,Laboratory Technician,3,2090,6,Yes,15,3,80,3,0,0,0
33,0,Travel_Frequently,1392,Research & Development,3,Life Sciences,Female,56,Research Scientist,3,2909,1,Yes,11,3,80,3,8,3,0
27,0,Travel_Rarely,591,Research & Development,2,Medical,Male,40,Laboratory Technician,2,3468,9,No,12,3,80,3,2,2,2
32,0,Travel_Frequently,1005,Research & Development,2,Life Sciences,Male,79,Laboratory Technician,4,3068,0,No,13,3,80,2,7,3,6
59,0,Travel_Rarely,1324,Research & Development,3,Medical,Female,81,Laboratory Technician,1,2670,4,Yes,20,4,80,2,1,0,0
30,0,Travel_Rarely,1358,Research & Development,24,Life Sciences,Male,67,Laboratory Technician,3,2693,1,No,22,4,80,3,1,0,0
38,0,Travel_Frequently,216,Research & Development,23,Life Sciences,Male,44,Manufacturing Director,3,9526,0,No,21,4,80,3,9,1,8
36,0,Travel_Rarely,1299,Research & Development,27,Medical,Male,94,Healthcare Representative,3,5237,6,No,13,3,80,2,7,7,7
35,0,Travel_Rarely,809,Research & Development,16,Medical,Male,84,Laboratory Technician,2,2426,0,No,13,3,80,3,5,0,3
29,0,Travel_Rarely,153,Research & Development,15,Life Sciences,Female,49,Laboratory Technician,3,4193,0,Yes,12,3,80,3,9,0,8
31,0,Travel_Rarely,670,Research & Development,26,Life Sciences,Male,31,Research Scientist,3,2911,1,No,17,3,80,2,5,4,3
34,0,Travel_Rarely,1346,Research & Development,19,Medical,Male,93,Laboratory Technician,4,2661,0,No,11,3,80,3,2,1,2
28,1,Travel_Rarely,103,Research & Development,24,Life Sciences,Male,50,Laboratory Technician,3,2028,5,Yes,14,3,80,3,4,0,3
